"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"gene"
"Serf2";0;-0,444062613547328;0,864;0,945;0;"Serf2"
"Abca1";0;1,87865793936333;0,758;0,236;0;"Abca1"
"Igfbp7";0;-0,736899275811723;0,837;0,889;0;"Igfbp7"
"Selenow";0;-0,587824486733754;0,737;0,875;0;"Selenow"
"Apoe";0;1,34098577971405;0,667;0,489;0;"Apoe"
"Ftl1";0;-0,868927935722888;0,817;0,926;0;"Ftl1"
"Emp3";0;-0,722549943598202;0,472;0,686;0;"Emp3"
"Ifitm2";0;-0,577993151496196;0,785;0,869;0;"Ifitm2"
"Ifitm3";0;-0,528379524006353;0,86;0,905;0;"Ifitm3"
"Ppib";0;-0,565871521699138;0,604;0,771;0;"Ppib"
"Atp5d";0;-0,594915382855827;0,463;0,668;0;"Atp5d"
"Naca";0;-0,563934994252662;0,788;0,912;0;"Naca"
"Selenom";0;-0,628734184900077;0,646;0,797;0;"Selenom"
"Srebf1";0;1,6728724705114;0,648;0,202;0;"Srebf1"
"Ubb";0;-0,62779778327097;0,865;0,945;0;"Ubb"
"Nme2";0;-0,687539825078086;0,662;0,841;0;"Nme2"
"Atp5g1";0;-0,577234907210304;0,376;0,587;0;"Atp5g1"
"Fasn";0;0,699860735526393;0,295;0,121;0;"Fasn"
"Mylip";0;1,16202875221593;0,566;0,238;0;"Mylip"
"Tpt1";0;-0,424587033713019;0,994;0,998;0;"Tpt1"
"Lgals1";0;-0,746379849476182;0,712;0,832;0;"Lgals1"
"Pfdn5";0;-0,518168262412886;0,698;0,853;0;"Pfdn5"
"Elob";0;-0,52143388392378;0,617;0,786;0;"Elob"
"Abcg1";0;1,18114351331405;0,392;0,1;0;"Abcg1"
"Fau";0;-0,382831162737991;0,984;0,994;0;"Fau"
"Cox8a";0;-0,665737317621173;0,812;0,922;0;"Cox8a"
"Fth1";0;-0,600920286749929;0,969;0,989;0;"Fth1"
"Scd2";0;1,86713481597581;0,851;0,456;0;"Scd2"
"Scd1";0;1,4705527360446;0,501;0,143;0;"Scd1"
"Mid1ip1";0;0,752262675295338;0,325;0,14;0;"Mid1ip1"
"Cyba";7,16273965299185e-280;-0,527146053316949;0,513;0,697;1,60717552333831e-275;"Cyba"
"Ppia";1,19523751436156e-277;-0,362139650387947;0,94;0,972;2,68187393472447e-273;"Ppia"
"Cst3";7,38710026704691e-269;-0,480184397349209;0,845;0,905;1,65751755791999e-264;"Cst3"
"Hnrnph1";1,29956399969731e-267;0,516366009896748;0,843;0,775;2,91596170252082e-263;"Hnrnph1"
"Pfn1";5,29143492603179e-265;-0,510216037621508;0,661;0,807;1,18729216870301e-260;"Pfn1"
"Hint1";8,89243585982868e-265;-0,433548588990333;0,677;0,818;1,99528475822836e-260;"Hint1"
"Chchd2";4,42867675422993e-259;-0,367676543975105;0,858;0,93;9,93706490114112e-255;"Chchd2"
"Ndufa13";2,33461750219537e-256;-0,482752144511296;0,601;0,757;5,23841475142598e-252;"Ndufa13"
"Cyb5a";4,94510842638978e-256;-0,504310291462488;0,515;0,683;1,10958342871334e-251;"Cyb5a"
"Ssr4";1,70730795849699e-255;-0,517138387734049;0,291;0,484;3,83085759727555e-251;"Ssr4"
"Gng5";5,43667814630959e-255;-0,437305365333169;0,663;0,81;1,21988184246895e-250;"Gng5"
"Eef1d";1,72483419646759e-252;-0,470532338461711;0,521;0,699;3,87018297003398e-248;"Eef1d"
"Nenf";2,97237794906395e-247;-0,486939598795627;0,58;0,731;6,66942164210969e-243;"Nenf"
"Edf1";2,32972942726119e-241;-0,47882538371462;0,437;0,619;5,22744688888865e-237;"Edf1"
"Dynll1";5,27248597949426e-239;-0,453750313047032;0,723;0,84;1,18304040407892e-234;"Dynll1"
"Nedd8";2,06619564969415e-237;-0,476050806420209;0,399;0,586;4,63612979878374e-233;"Nedd8"
"S100a11";8,16340714260931e-236;-0,47664220516278;0,731;0,834;1,83170529465868e-231;"S100a11"
"Fosb";2,23007840260312e-231;0,891098429372585;0,668;0,508;5,00384991976089e-227;"Fosb"
"Krtcap2";8,74929457947448e-230;-0,456310698032508;0,498;0,669;1,96316671774248e-225;"Krtcap2"
"Ost4";1,31990458532062e-228;-0,443354203334124;0,551;0,712;2,9616019085424e-224;"Ost4"
"Smdt1";2,99255540899511e-223;-0,435020144400751;0,584;0,739;6,71469582670322e-219;"Smdt1"
"Cd63";1,77479891921829e-216;-0,443703045715699;0,725;0,814;3,98229381494199e-212;"Cd63"
"D8Ertd738e";2,36624558402423e-216;-0,476025596584601;0,467;0,645;5,30938184143356e-212;"D8Ertd738e"
"Prdx5";2,6824250257636e-214;-0,476833338752183;0,334;0,51;6,01882527280837e-210;"Prdx5"
"Eif1";1,35690626922184e-208;-0,277409101019614;0,974;0,988;3,04462628687997e-204;"Eif1"
"Dusp1";1,71461098094079e-203;0,871220280327374;0,676;0,542;3,84724411903495e-199;"Dusp1"
"Fus";1,78235509707169e-203;0,433541608037211;0,839;0,782;3,99924836680946e-199;"Fus"
"Hspa1b";3,27334478117953e-202;0,788208223755833;0,698;0,567;7,34473102001063e-198;"Hspa1b"
"Dad1";3,2209818533597e-201;-0,430143089351646;0,628;0,769;7,22723908256849e-197;"Dad1"
"Oaz1";1,27247774267977e-200;-0,315261215319953;0,865;0,93;2,85518555902486e-196;"Oaz1"
"Vkorc1";2,60538130735434e-200;-0,480279262071526;0,38;0,549;5,84595457744167e-196;"Vkorc1"
"Mfap4";3,41678339361585e-200;-0,709922804703753;0,425;0,573;7,66657857859525e-196;"Mfap4"
