"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene"
"2200002D01Rik";1,13574356619664e-15;1,37155258954643;0,986;0,737;2,01549053257257e-11;"0";"2200002D01Rik"
"Gsta1";3,49534416900495e-15;2,58811522256121;0,932;0,263;6,20283776231619e-11;"0";"Gsta1"
"Maoa";1,9160716861062e-13;1,04135906514549;0,867;0,355;3,40026081416406e-09;"0";"Maoa"
"St3gal4";6,34950740353943e-13;1,30035612262802;0,831;0,128;1,12678358383211e-08;"0";"St3gal4"
"Rbp2";1,30217033467681e-12;2,64505936127319;0,818;0,221;2,31083147591746e-08;"0";"Rbp2"
"Ces2a";3,6132455424475e-12;1,35863127640407;0,803;0,171;6,41206553962734e-08;"0";"Ces2a"
"Ugdh";3,8766760873253e-12;1,03264484049281;0,966;0,658;6,87954938456748e-08;"0";"Ugdh"
"Gsta4";4,61413748748167e-12;1,47588776455973;0,959;0,647;8,18824838528496e-08;"0";"Gsta4"
"Cyp4f14";4,94896737769219e-12;1,09472372237622;0,794;0,19;8,78243750845255e-08;"0";"Cyp4f14"
"Cbr1";5,4668104241202e-12;1,11373534697648;0,98;0,774;9,70140177864371e-08;"0";"Cbr1"
"Ces2c";6,05930765876802e-12;1,06764070171201;0,754;0,131;1,07528473712497e-07;"0";"Ces2c"
"Akr1c19";2,17018306057342e-11;1,44372462958041;0,933;0,547;3,85120685929359e-07;"0";"Akr1c19"
"Cdkn2b";2,20101903792708e-11;0,8005274295395;0,687;0,103;3,90592838470539e-07;"0";"Cdkn2b"
"Ces2e";2,5604956426388e-11;1,00764710824528;0,861;0,293;4,54385556742681e-07;"0";"Ces2e"
"Fmo5";2,58688641085971e-11;0,780947437084599;0,676;0,135;4,59068862471164e-07;"0";"Fmo5"
"Aldh1a1";2,87524950854276e-11;1,03346047514434;0,677;0,104;5,10241777785997e-07;"0";"Aldh1a1"
"Cbr3";1,28716031336343e-10;1,21373274724712;0,834;0,315;2,28419469209474e-06;"0";"Cbr3"
"Gna11";1,67081401013688e-10;1,04501806350274;0,962;0,693;2,96502654238891e-06;"0";"Gna11"
"Arg2";3,13683856804162e-10;1,12843953106454;0,63;0,066;5,56663372284666e-06;"0";"Arg2"
"Chp2";4,57935581005576e-10;0,643063513352001;0,562;0,064;8,12652482052496e-06;"0";"Chp2"
"Gsta2";5,19578481525775e-10;1,07958370853905;0,622;0,077;9,2204397331564e-06;"0";"Gsta2"
"Fabp1";6,14812098344873e-10;3,45990277278781;0,916;0,619;1,09104554972281e-05;"0";"Fabp1"
"Tstd1";1,04282138533032e-09;0,6202908475086;0,871;0,611;1,85059083040718e-05;"0";"Tstd1"
"Smlr1";1,18175451856472e-09;0,679040079851404;0,619;0,097;2,09714156864496e-05;"0";"Smlr1"
"Gm3776";1,32141811194459e-09;1,89054684836344;0,745;0,089;2,34498858145686e-05;"0";"Gm3776"
"Coro2a";1,50681884822335e-09;0,550054700483037;0,689;0,228;2,67400072805716e-05;"0";"Coro2a"
"Cda";1,88804768968298e-09;1,1526215117842;0,93;0,607;3,35052943011141e-05;"0";"Cda"
"Serpinb6a";2,07248938860139e-09;0,891532209680694;0,976;0,74;3,67783966901203e-05;"0";"Serpinb6a"
"Dgat1";2,79342625358673e-09;0,795178885068625;0,815;0,395;4,95721422961501e-05;"0";"Dgat1"
"Khk";3,15410095182638e-09;0,938384203381098;0,919;0,654;5,59726754911109e-05;"0";"Khk"
"Tm6sf2";4,15469935984402e-09;0,859747021959656;0,736;0,17;7,37292948397921e-05;"0";"Tm6sf2"
"Anxa2";5,1657906446775e-09;0,963885458232235;0,967;0,68;9,16721207804469e-05;"0";"Anxa2"
"Gstm3";7,45166858001782e-09;1,24233829803638;0,772;0,347;0,000132237310620996;"0";"Gstm3"
"Mttp";7,87878200295765e-09;1,00858180188709;0,794;0,265;0,000139816865424486;"0";"Mttp"
"Sult1b1";8,45713115003851e-09;0,772629045500858;0,663;0,131;0,000150080249388583;"0";"Sult1b1"
"Cmbl";8,70487373456685e-09;0,582190554823788;0,812;0,432;0,000154476689293623;"0";"Cmbl"
"Cox7a1";1,27668925033526e-08;0,865517990378585;0,701;0,168;0,000226561274364495;"0";"Cox7a1"
"Cyp2d26";1,44081055179822e-08;0,660343228105585;0,579;0,101;0,000255686240522111;"0";"Cyp2d26"
"Bpnt1";2,01115989974005e-08;0,640694448449143;0,797;0,411;0,000356900435807869;"0";"Bpnt1"
"Acsl5";2,28407420290299e-08;0,797188449636279;0,756;0,396;0,000405331808047164;"0";"Acsl5"
"Sis";2,71467951713112e-08;1,27382470395473;0,691;0,083;0,000481747027110089;"0";"Sis"
"Mpp1";3,10251250893648e-08;0,613371507865944;0,58;0,117;0,000550571869835868;"0";"Mpp1"
"Creb3l3";3,95114343774353e-08;0,774948668497025;0,481;0,014;0,000701169914461968;"0";"Creb3l3"
"Hsd17b13";4,01064776678132e-08;0,749450943179838;0,845;0,499;0,000711729552693014;"0";"Hsd17b13"
"Mgat4a";4,60345259457636e-08;0,326613877598834;0,581;0,299;0,000816928697433521;"0";"Mgat4a"
"Il18";4,66717724288612e-08;0,649222545371013;0,487;0,038;0,00082823727352257;"0";"Il18"
"Akr1c13";5,31937574829702e-08;0,66968727387142;0,93;0,69;0,000943976420292789;"0";"Akr1c13"
"Cyp2j6";5,56667606382627e-08;0,773450969455152;0,717;0,335;0,00098786233428661;"0";"Cyp2j6"
"Serpinb1a";6,09233851927817e-08;0,635726229702314;0,934;0,684;0,0010811463936311;"0";"Serpinb1a"
"Cyp3a13";6,87613837097951e-08;0,771783696169549;0,553;0,061;0,00122023951531402;"0";"Cyp3a13"
"Akr1b8";8,9731888204324e-08;0,781966472650612;0,695;0,258;0,00159238208807393;"0";"Akr1b8"
"Ces1f";9,85100005967965e-08;0,769644597401617;0,665;0,076;0,00174815847059075;"0";"Ces1f"
"Aldob";1,00349316214005e-07;1,53204022160493;0,931;0,649;0,00178079896553373;"0";"Aldob"
"Smim24";1,11551525886541e-07;0,879438887461775;0,947;0,695;0,00197959337838256;"0";"Smim24"
