"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"gene"
"Abca1";0;1,44212570952144;0,577;0,02;0;"Abca1"
"Srebf1";0;1,61073596112345;0,728;0,182;0;"Srebf1"
"Scd2";0;2,17157566714744;0,839;0,247;0;"Scd2"
"Scd1";0;2,55329774026228;0,599;0,015;0;"Scd1"
"Abcg1";1,33776572336027e-238;0,997127775804935;0,244;0,015;3,00167873007578e-234;"Abcg1"
"Hmgcs2";5,74979974369021e-195;0,991247802957994;0,555;0,292;1,29014006648921e-190;"Hmgcs2"
"Mylip";2,81639372122927e-183;0,683362469492037;0,221;0,023;6,31942423169424e-179;"Mylip"
"Acot1";4,9263572356278e-181;1,03209291421421;0,554;0,304;1,10537603653017e-176;"Acot1"
"H2-Q10";3,08025065926655e-176;0,706660180493099;0,417;0,154;6,91146642926229e-172;"H2-Q10"
"Akr1b8";2,4067762491569e-153;1,05247629617583;0,446;0,196;5,40032454785826e-149;"Akr1b8"
"Acaa1b";6,65931870956973e-143;1,20281642587329;0,483;0,24;1,49421793205325e-138;"Acaa1b"
"Cyp4a10";7,05536566439338e-129;0,44895636755298;0,23;0,053;1,58308294777659e-124;"Cyp4a10"
"Cyp2c66";1,36573130923421e-114;0,509503101841738;0,334;0,136;3,06442791165972e-110;"Cyp2c66"
"Ppara";1,92495506979355e-111;0,298439502231394;0,359;0,147;4,31921418560276e-107;"Ppara"
"Abcg5";9,54144172634913e-111;0,618045721194196;0,512;0,312;2,14090869455822e-106;"Abcg5"
"Hsd17b11";1,95966065392429e-105;1,01275700768178;0,59;0,438;4,39708657527533e-101;"Hsd17b11"
"AI427809";6,5794659987158e-105;0,158167054766775;0,151;0,022;1,47630058079185e-100;"AI427809"
"Fabp1";5,56606611340689e-102;1,03700398075548;0,939;0,888;1,24891391452624e-97;"Fabp1"
"Abcg8";7,23076969060938e-98;0,467664464623544;0,432;0,232;1,62244010317893e-93;"Abcg8"
"Lpcat3";4,55251969353288e-92;0,690007111152915;0,605;0,471;1,02149436883491e-87;"Lpcat3"
"Pdk4";4,47127996919293e-91;0,255701247381507;0,274;0,1;1,00326579948751e-86;"Pdk4"
"Lgals2";8,73152910086582e-83;-0,526460470821973;0,74;0,855;1,95918049965227e-78;"Lgals2"
"Ehhadh";7,09087006573279e-82;0,434867337663289;0,371;0,193;1,59104942534912e-77;"Ehhadh"
"Acot2";2,54017989093177e-80;0,245394690277353;0,321;0,142;5,69965563927271e-76;"Acot2"
"Fasn";2,27785842428128e-79;0,850095351599566;0,385;0,207;5,11105873240234e-75;"Fasn"
"H2-K1";6,39770899210655e-79;0,415213022923149;0,955;0,93;1,43551794364887e-74;"H2-K1"
"Hspa8";1,78129210177254e-78;-0,373631945726389;0,904;0,915;3,99686321795723e-74;"Hspa8"
"Hsp90ab1";1,2649017208719e-76;-0,473933708394883;0,913;0,941;2,83818648129238e-72;"Hsp90ab1"
"Defa21";2,67500777995309e-73;-0,435221919561865;0,462;0,66;6,00218245665874e-69;"Defa21"
"S100g";3,68194315477481e-73;1,14767651116539;0,423;0,247;8,26154405068372e-69;"S100g"
"Hsd3b3";2,57259667082488e-72;0,153754801236218;0,176;0,052;5,77239240999686e-68;"Hsd3b3"
"Me1";7,27009537854514e-71;0,429588887983603;0,361;0,192;1,63126400103796e-66;"Me1"
"Angptl4";4,68280856879602e-69;0,224195099146872;0,279;0,121;1,05072858666645e-64;"Angptl4"
"Akr1b7";5,96132666279904e-68;0,493571784467935;0,31;0,156;1,33760247659885e-63;"Akr1b7"
"Rab30";8,60556921383452e-67;0,159276601233569;0,214;0,078;1,93091762020019e-62;"Rab30"
"Defa22";7,80860219205581e-66;-0,42518022369953;0,448;0,638;1,75209415985348e-61;"Defa22"
"Litaf";2,84359550548978e-65;0,302629437144864;0,474;0,271;6,38045959521797e-61;"Litaf"
"Cd36";3,18322774913746e-63;0,162758269019378;0,153;0,045;7,14252642351463e-59;"Cd36"
"Gng11";6,04156304222931e-63;0,308235478258183;0,32;0,162;1,35560591541541e-58;"Gng11"
"Ighm";6,52617403960987e-63;0,964928998078634;0,149;0,043;1,46434293100766e-58;"Ighm"
"Utp14b";8,27401431424725e-63;0,332969828899631;0,287;0,135;1,8565233318308e-58;"Utp14b"
"Dnase1";2,08328278711098e-60;0,249907774063806;0,169;0,057;4,67446991771962e-56;"Dnase1"
"Retsat";6,82425861940322e-59;0,50941757692138;0,419;0,273;1,5312271490217e-54;"Retsat"
"Fmo5";2,87647046474504e-57;0,392816046429403;0,396;0,243;6,45422442879492e-53;"Fmo5"
"Hsph1";4,03235622387292e-56;-0,405511052453387;0,233;0,392;9,04780089512606e-52;"Hsph1"
"Lgals3";1,7819153519514e-54;0,571301254374477;0,598;0,453;3,99826166670855e-50;"Lgals3"
"Epcam";3,34917579183909e-54;-0,366740230760604;0,765;0,841;7,51488064172855e-50;"Epcam"
"Acsl3";5,68578480134447e-52;0,418455054593081;0,423;0,269;1,27577639372567e-47;"Acsl3"
"Krt19";8,98570895151019e-51;-0,454796239233457;0,695;0,797;2,01621337453986e-46;"Krt19"
"Krt8";9,07214522777003e-49;-0,327434377412397;0,745;0,838;2,03560794620704e-44;"Krt8"
"Idi1";2,77811533490562e-48;-0,264834329523275;0,349;0,502;6,23353518846123e-44;"Idi1"
"Dnaja1";8,05525960046644e-48;-0,326412987183826;0,815;0,821;1,80743914915266e-43;"Dnaja1"
"Vnn1";9,31177001822451e-48;0,134947745276691;0,16;0,059;2,08937495668922e-43;"Vnn1"
"H2-Ab1";1,31435084387062e-47;0,780305193856584;0,337;0,19;2,94914042347689e-43;"H2-Ab1"
"Gm47283";9,96816985723854e-47;-0,481917618046197;0,304;0,45;2,23665795256718e-42;"Gm47283"
"Pdzk1";5,88185955862598e-46;0,179017508863865;0,146;0,053;1,3197716477645e-41;"Pdzk1"
