"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene";"cluster_no"
"Idi1";5,80318618082356e-22;0,696174703023856;0,921;0,679;1,02983341964895e-17;"DMSO";"Idi1";0
"Cyp51";1,07889199963651e-17;0,596214233169699;0,889;0,706;1,91460174255496e-13;"DMSO";"Cyp51";0
"Msmo1";1,05730097486417e-14;0,60399418609499;0,887;0,667;1,87628630999395e-10;"DMSO";"Msmo1";0
"Fdps";4,25685479085804e-11;0,450885012941804;0,98;0,947;7,55421451185668e-07;"DMSO";"Fdps";0
"Txn1";2,48047434982696e-09;0,207194110986421;1;1;4,40184978120293e-05;"DMSO";"Txn1";0
"Lypd8";5,46719375740087e-09;0,383560021510862;0,996;0,987;9,70208204188359e-05;"DMSO";"Lypd8";0
"Oat";1,34732746105262e-08;0,51627874639871;0,985;0,959;0,000239096731238398;"DMSO";"Oat";0
"Plac8";6,40884833485061e-08;0,364849850957088;0,994;0,976;0,00113731422550259;"DMSO";"Plac8";0
"Sqle";1,19161330562448e-07;0,278616349316509;0,618;0,368;0,00211463697216121;"DMSO";"Sqle";0
"Myl12b";2,66610940137472e-07;0,236450223730686;0,973;0,934;0,00473127774367958;"DMSO";"Myl12b";0
"Hmgcr";9,02941689797995e-07;0,319336032880354;0,769;0,583;0,0160236032271552;"DMSO";"Hmgcr";0
"Smim24";1,00141525646225e-06;0,342564425046082;0,972;0,915;0,0177711151411791;"DMSO";"Smim24";0
"Khk";1,4497698420959e-06;0,355755623176258;0,943;0,889;0,0257276156178338;"DMSO";"Khk";0
"Gm49980";1,59998985962382e-06;0,215827240422661;0,371;0,143;0,0283934200488843;"DMSO";"Gm49980";0
"Adh6a";6,24390784017793e-06;0,439460332877668;0,416;0,263;0,110804388531798;"DMSO";"Adh6a";0
"Fth1";6,88614634322083e-06;0,243702153484833;0,999;1;0,122201553006797;"DMSO";"Fth1";0
"Chpt1";1,08934702717959e-05;0,233863382051025;0,782;0,637;0,19331552344329;"DMSO";"Chpt1";0
"Fdft1";3,08488824667391e-05;0,338976550657216;0,674;0,412;0,547444268254752;"DMSO";"Fdft1";0
"Sdhd";4,87853578158504e-05;0,289416877868262;0,948;0,866;0,865744959800081;"DMSO";"Sdhd";0
"Cldn15";0,000166359358959638;0,25389509655665;0,886;0,777;1;"DMSO";"Cldn15";0
"Serinc3";0,000225118577258243;0,206494304129046;0,7;0,546;1;"DMSO";"Serinc3";0
"Tkfc";0,000243047523447401;0,377628021449288;0,831;0,721;1;"DMSO";"Tkfc";0
"Mgst3";0,000296916079716945;0,21478359631068;0,995;0,994;1;"DMSO";"Mgst3";0
"Ptms";0,000366032259194812;0,234352654196933;0,923;0,831;1;"DMSO";"Ptms";0
"Psmb10";0,000466933108284296;0,210677625344543;0,685;0,504;1;"DMSO";"Psmb10";0
"Atp1a1";0,000504568843025764;0,289567573984278;0,968;0,924;1;"DMSO";"Atp1a1";0
"Ifi27l2b";0,000530211231178903;0,314865682985408;0,896;0,822;1;"DMSO";"Ifi27l2b";0
"Bpnt1";0,000659839722701524;0,205701632547989;0,839;0,745;1;"DMSO";"Bpnt1";0
"Hmgcs1";0,00071551134836953;0,273901489802438;0,784;0,657;1;"DMSO";"Hmgcs1";0
"Gpx2";0,00135144115161917;0,271418599237585;0,97;0,946;1;"DMSO";"Gpx2";0
"Aldob";0,00222890816968854;0,734793064305488;0,957;0,898;1;"DMSO";"Aldob";0
"Reg3b";0,00227858684105468;0,616979987937476;0,175;0,133;1;"DMSO";"Reg3b";0
