"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"gene"
"Acsl3";0;1,07564480700159;0,252;0,054;0;"Acsl3"
"Arl4c";0;0,924125122458039;0,292;0,121;0;"Arl4c"
"Edf1";0;-0,742370352688137;0,253;0,431;0;"Edf1"
"Serf2";0;-0,563637489453325;0,648;0,792;0;"Serf2"
"Krtcap2";0;-0,866435644235094;0,336;0,491;0;"Krtcap2"
"Gng5";0;-0,823472532158451;0,395;0,612;0;"Gng5"
"Abca1";0;2,45825317977286;0,644;0,043;0;"Abca1"
"Cd52";0;-0,783206249062336;0,549;0,712;0;"Cd52"
"Insig1";0;0,914971716893031;0,532;0,328;0;"Insig1"
"Chchd2";0;-0,648780500997014;0,637;0,784;0;"Chchd2"
"Selenow";0;-0,720289068842803;0,378;0,555;0;"Selenow"
"Ftl1";0;-0,710980101492219;0,595;0,723;0;"Ftl1"
"Uba52";0;-1,02229247076661;0,547;0,785;0;"Uba52"
"D8Ertd738e";0;-1,0326353665582;0,345;0,575;0;"D8Ertd738e"
"Srgn";0;-0,666260734063142;0,783;0,886;0;"Srgn"
"Srebf1";0;2,51240179956711;0,634;0,076;0;"Srebf1"
"Ubb";0;-0,593572987832609;0,705;0,823;0;"Ubb"
"Nme2";0;-0,93027878683686;0,397;0,558;0;"Nme2"
"Eif1";0;-0,6334768949664;0,953;0,98;0;"Eif1"
"Fasn";0;1,23124522261405;0,378;0,098;0;"Fasn"
"Igha";0;0,281222944443742;1;0,999;0;"Igha"
"Mylip";0;1,32860015256744;0,452;0,124;0;"Mylip"
"Pfdn5";0;-0,784597901927898;0,507;0,707;0;"Pfdn5"
"Elob";0;-0,805511846404198;0,28;0,473;0;"Elob"
"Pim1";0;0,685864122090199;0,824;0,735;0;"Pim1"
"Abcg1";0;2,58142470429958;0,744;0,077;0;"Abcg1"
"Fau";0;-0,62417337265903;0,989;0,996;0;"Fau"
"Cox8a";0;-0,927959596181387;0,545;0,777;0;"Cox8a"
"Scd2";0;3,02232531268922;0,759;0,101;0;"Scd2"
"Scd1";0;1,89121457378919;0,533;0,11;0;"Scd1"
"Gm26917";5,78424218764421e-304;0,695097224256296;0,756;0,605;1,29786826206361e-299;"Gm26917"
"Btg1";1,7815067203087e-302;0,642001404937779;0,887;0,818;3,99734477902866e-298;"Btg1"
"Utp14b";3,01414185851385e-300;0,725391472234824;0,153;0,032;6,76313150213338e-296;"Utp14b"
"Ndufa13";4,71402210730726e-299;-0,708421836357505;0,364;0,531;1,0577322804376e-294;"Ndufa13"
"Rnf145";1,07359875216421e-287;0,780062047945458;0,268;0,108;2,40894088010605e-283;"Rnf145"
"Naca";5,58750820858552e-262;-0,554691696538067;0,638;0,773;1,25372509184242e-257;"Naca"
"Ssr4";4,27573175380424e-253;-1,09890576605608;0,328;0,444;9,59388690918595e-249;"Ssr4"
"Tmsb4x";2,71074197504102e-252;-0,412910725287449;0,987;0,994;6,08236284359705e-248;"Tmsb4x"
"Jund";2,76584519529769e-252;0,422277596355426;0,956;0,914;6,20600344920896e-248;"Jund"
"S100a10";9,84702451000921e-252;-0,734466371120677;0,305;0,479;2,20947535955587e-247;"S100a10"
"Elovl5";1,44345252528386e-251;0,769073960445192;0,393;0,219;3,23881877623192e-247;"Elovl5"
"Sh3bgrl3";1,16088425238243e-250;-0,68574114982308;0,421;0,593;2,60479208549569e-246;"Sh3bgrl3"
"Tpt1";1,45613030900715e-244;-0,328880585819436;0,993;0,996;3,26726518735025e-240;"Tpt1"
"Hint1";3,36571768839881e-241;-0,633703538052778;0,369;0,534;7,55199734922925e-237;"Hint1"
"Supt4a";6,58032781142877e-241;-0,662116211676386;0,25;0,412;1,47649395432839e-236;"Supt4a"
"Nr4a1";6,50573468508447e-240;0,629550196239702;0,776;0,63;1,45975674863925e-235;"Nr4a1"
"Hmgcr";1,78927724811762e-239;0,729429065596164;0,445;0,282;4,01478028932632e-235;"Hmgcr"
"Atp5h";1,22731900331732e-232;-0,510007271674904;0,622;0,753;2,7538583796434e-228;"Atp5h"
"Fth1";1,37940805051165e-231;-0,592718906218921;0,853;0,935;3,09511578373805e-227;"Fth1"
"Hmgcs1";1,1045142691833e-228;0,803681856912824;0,341;0,187;2,47830911719348e-224;"Hmgcs1"
"Acsl4";4,78409225620223e-222;0,637500278354037;0,28;0,136;1,07345462044666e-217;"Acsl4"
"Ost4";2,44512281180854e-220;-0,632626678178043;0,324;0,461;5,48636656513599e-216;"Ost4"
"AW112010";2,88267828835335e-218;-0,860175380869817;0,373;0,521;6,46815354340726e-214;"AW112010"
"Ptpn18";1,41170469380133e-217;-0,601763879881542;0,48;0,632;3,16758299195143e-213;"Ptpn18"
"Dad1";6,10693804515043e-216;-0,616720505353433;0,456;0,589;1,37027475857085e-211;"Dad1"
"Cxcr4";8,38169592788536e-212;0,842492895539543;0,443;0,283;1,88068493229892e-207;"Cxcr4"
"Atp5g1";2,33477806752869e-211;-0,664378669686053;0,238;0,38;5,23877502792088e-207;"Atp5g1"
"Dynll1";3,31111305606191e-210;-0,598498299993756;0,383;0,528;7,42947547519172e-206;"Dynll1"
"Taf10";2,67023472329052e-206;-0,599656715784343;0,191;0,334;5,99147267211927e-202;"Taf10"
"Lamtor2";4,6177484547593e-200;-0,613517399592427;0,234;0,375;1,03613039827889e-195;"Lamtor2"
"Klf2";2,11131353415744e-199;0,739091949786587;0,538;0,393;4,73736530794246e-195;"Klf2"
"Cox5b";6,33948036871049e-199;-0,567153619608244;0,408;0,552;1,42245260513126e-194;"Cox5b"
"Ccl5";9,59992794019254e-196;-2,00487446544182;0,199;0,331;2,1540318312204e-191;"Ccl5"
"Egr1";1,22816587401693e-193;0,784304517473925;0,473;0,327;2,75575858811919e-189;"Egr1"
"H3f3b";3,4407229845218e-190;-0,372259813047243;0,955;0,974;7,72029423267002e-186;"H3f3b"
"Nfkbia";4,21058792896811e-189;0,742416836011718;0,664;0,551;9,44771719501864e-185;"Nfkbia"
"Hnrnph1";5,99970747644252e-189;0,479040121278356;0,833;0,743;1,34621436356417e-184;"Hnrnph1"
"Selenok";8,03754167757878e-189;-0,429674383832192;0,611;0,697;1,80346360161513e-184;"Selenok"
"Ldlr";2,92765491738494e-188;0,575682543248888;0,281;0,147;6,56907210362832e-184;"Ldlr"
"Fosb";6,81265302144301e-188;0,478969168961346;0,79;0,697;1,52862308495138e-183;"Fosb"
"Mrps24";3,22118081234401e-187;-0,522824304252394;0,143;0,27;7,22768550673748e-183;"Mrps24"
"Selenom";1,86466849222954e-179;-0,44278804769404;0,086;0,194;4,18394316286465e-175;"Selenom"
"Slc38a2";1,0666336266355e-178;0,539966713610469;0,688;0,565;2,39331253144474e-174;"Slc38a2"
"Scand1";1,4905307642179e-177;-0,574937650486443;0,343;0,482;3,34445292875212e-173;"Scand1"
"Idi1";6,92253149351937e-177;0,62486248464163;0,376;0,234;1,55327761651588e-172;"Idi1"
